UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:P61024	CKS1B	Cyclin-dependent kinases regulatory subunit 1
UniProtKB:O15294	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
UniProtKB:Q9GZV9	FGF23	Fibroblast growth factor 23
UniProtKB:Q9GZV5	WWTR1	WW domain-containing transcription regulator protein 1
UniProtKB:O15265	ATXN7	Ataxin-7
UniProtKB:Q9GZU5	NYX	Nyctalopin
UniProtKB:P24468	NR2F2	COUP transcription factor 2
UniProtKB:Q05639	EEF1A2	Elongation factor 1-alpha 2
UniProtKB:Q8WYR1	PIK3R5	Phosphoinositide 3-kinase regulatory subunit 5
UniProtKB:Q92831	KAT2B	Histone acetyltransferase KAT2B
UniProtKB:Q99572	P2RX7	P2X purinoceptor 7
UniProtKB:Q99578	RIT2	GTP-binding protein Rit2
UniProtKB:Q92878	RAD50	DNA repair protein RAD50
UniProtKB:Q9Y4K3	TRAF6	TNF receptor-associated factor 6
UniProtKB:P11362	FGFR1	Fibroblast growth factor receptor 1
UniProtKB:P18089	ADRA2B	Alpha-2B adrenergic receptor
UniProtKB:Q3V6T2	CCDC88A	Girdin
UniProtKB:P18075	BMP7	Bone morphogenetic protein 7
UniProtKB:P18031	PTPN1	Tyrosine-protein phosphatase non-receptor type 1
UniProtKB:Q15848	ADIPOQ	Adiponectin
UniProtKB:Q5TCY1	TTBK1	Tau-tubulin kinase 1
UniProtKB:P21359	NF1	Neurofibromin
UniProtKB:Q15811	ITSN1	Intersectin-1
UniProtKB:P21583	KITLG	Kit ligand
UniProtKB:P21580	TNFAIP3	Tumor necrosis factor alpha-induced protein 3
UniProtKB:P27539	GDF1	Embryonic growth/differentiation factor 1
UniProtKB:Q5TCQ9	MAGI3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3
UniProtKB:Q6UXB2	CXCL17	C-X-C motif chemokine 17
UniProtKB:P48736	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
UniProtKB:P48730	CSNK1D	Casein kinase I isoform delta
UniProtKB:P06493	CDK1	Cyclin-dependent kinase 1
UniProtKB:P26927	MST1	Hepatocyte growth factor-like protein
UniProtKB:P01031	C5	Complement C5
UniProtKB:P28223	HTR2A	5-hydroxytryptamine receptor 2A
UniProtKB:P01024	C3	Complement C3
UniProtKB:P01019	AGT	Angiotensinogen
UniProtKB:Q99627	COPS8	COP9 signalosome complex subunit 8
UniProtKB:Q8WY54	PPM1E	Protein phosphatase 1E
UniProtKB:Q99653	CHP1	Calcineurin B homologous protein 1
UniProtKB:Q92934	BAD	Bcl2-associated agonist of cell death
UniProtKB:Q05513	PRKCZ	Protein kinase C zeta type
UniProtKB:Q8IZQ8	MYOCD	Myocardin
UniProtKB:Q8WTW4	NPRL2	GATOR complex protein NPRL2
UniProtKB:P31749	AKT1	RAC-alpha serine/threonine-protein kinase
UniProtKB:O76095	JTB	Protein JTB
UniProtKB:O76093	FGF18	Fibroblast growth factor 18
UniProtKB:P85299	PRR5	Proline-rich protein 5
UniProtKB:P85298	ARHGAP8	Rho GTPase-activating protein 8
UniProtKB:Q6NTE8	MRNIP	MRN complex-interacting protein
UniProtKB:P08700	IL3	Interleukin-3
UniProtKB:Q13526	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
UniProtKB:Q13522	PPP1R1A	Protein phosphatase 1 regulatory subunit 1A
UniProtKB:Q13501	SQSTM1	Sequestosome-1
UniProtKB:Q9BY71	LRRC3	Leucine-rich repeat-containing protein 3
UniProtKB:P78325	ADAM8	Disintegrin and metalloproteinase domain-containing protein 8
UniProtKB:P78318	IGBP1	Immunoglobulin-binding protein 1
UniProtKB:Q08828	ADCY1	Adenylate cyclase type 1
UniProtKB:P14598	NCF1	Neutrophil cytosol factor 1
UniProtKB:Q9P035	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
UniProtKB:Q5SWA1	PPP1R15B	Protein phosphatase 1 regulatory subunit 15B
UniProtKB:P14555	PLA2G2A	Phospholipase A2, membrane associated
UniProtKB:Q9BXM7	PINK1	Serine/threonine-protein kinase PINK1, mitochondrial
UniProtKB:P61371	ISL1	Insulin gene enhancer protein ISL-1
UniProtKB:Q9BXL6	CARD14	Caspase recruitment domain-containing protein 14
UniProtKB:Q9BXJ1	C1QTNF1	Complement C1q tumor necrosis factor-related protein 1
UniProtKB:Q6KF10	GDF6	Growth/differentiation factor 6
UniProtKB:O14745	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
UniProtKB:Q6ZVD7	STOX1	Storkhead-box protein 1
UniProtKB:O15534	PER1	Period circadian protein homolog 1
UniProtKB:O15530	PDPK1	3-phosphoinositide-dependent protein kinase 1
UniProtKB:Q9NZU1	FLRT1	Leucine-rich repeat transmembrane protein FLRT1
UniProtKB:Q9NZU0	FLRT3	Leucine-rich repeat transmembrane protein FLRT3
UniProtKB:O15524	SOCS1	Suppressor of cytokine signaling 1
UniProtKB:O15520	FGF10	Fibroblast growth factor 10
UniProtKB:Q13467	FZD5	Frizzled-5
UniProtKB:O15504	NUPL2	Nucleoporin-like protein 2
UniProtKB:Q9NZQ0	DNAJC27	DnaJ homolog subfamily C member 27
UniProtKB:P04233	CD74	HLA class II histocompatibility antigen gamma chain
UniProtKB:Q13443	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9
UniProtKB:Q13432	UNC119	Protein unc-119 homolog A
UniProtKB:P04216	THY1	Thy-1 membrane glycoprotein
UniProtKB:Q13418	ILK	Integrin-linked protein kinase
UniProtKB:P04201	MAS1	Proto-oncogene Mas
UniProtKB:Q9NZM5	NOP53	Ribosome biogenesis protein NOP53
UniProtKB:O00560	SDCBP	Syntenin-1
UniProtKB:Q9Y6R4	MAP3K4	Mitogen-activated protein kinase kinase kinase 4
UniProtKB:Q8WXH5	SOCS4	Suppressor of cytokine signaling 4
UniProtKB:P36941	LTBR	Tumor necrosis factor receptor superfamily member 3
UniProtKB:P16471	PRLR	Prolactin receptor
UniProtKB:Q92990	GLMN	Glomulin
UniProtKB:Q92974	ARHGEF2	Rho guanine nucleotide exchange factor 2
UniProtKB:O00506	STK25	Serine/threonine-protein kinase 25
UniProtKB:Q53EL6	PDCD4	Programmed cell death protein 4
UniProtKB:Q8IZP0	ABI1	Abl interactor 1
UniProtKB:Q6UXI9	NPNT	Nephronectin
UniProtKB:Q15831	STK11	Serine/threonine-protein kinase STK11
UniProtKB:Q9Y6W6	DUSP10	Dual specificity protein phosphatase 10
UniProtKB:P31391	SSTR4	Somatostatin receptor type 4
UniProtKB:P63244	RACK1	Receptor of activated protein C kinase 1
UniProtKB:Q92918	MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1
UniProtKB:Q92913	FGF13	Fibroblast growth factor 13
UniProtKB:Q99640	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
UniProtKB:Q8IZL9	CDK20	Cyclin-dependent kinase 20
UniProtKB:Q92905	COPS5	COP9 signalosome complex subunit 5
UniProtKB:Q8WTR2	DUSP19	Dual specificity protein phosphatase 19
UniProtKB:P31371	FGF9	Fibroblast growth factor 9
UniProtKB:P43405	SYK	Tyrosine-protein kinase SYK
UniProtKB:Q99623	PHB2	Prohibitin-2
UniProtKB:Q8WU20	FRS2	Fibroblast growth factor receptor substrate 2
UniProtKB:P51828	ADCY7	Adenylate cyclase type 7
UniProtKB:P31323	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit
UniProtKB:P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit
UniProtKB:P01375	TNF	Tumor necrosis factor
UniProtKB:Q15389	ANGPT1	Angiopoietin-1
UniProtKB:Q5TCX8	MAP3K21	Mitogen-activated protein kinase kinase kinase 21
UniProtKB:A8K0Z3	WASHC1	WASH complex subunit 1
UniProtKB:Q15375	EPHA7	Ephrin type-A receptor 7
UniProtKB:P41595	HTR2B	5-hydroxytryptamine receptor 2B
UniProtKB:P41594	GRM5	Metabotropic glutamate receptor 5
UniProtKB:Q15326	ZMYND11	Zinc finger MYND domain-containing protein 11
UniProtKB:Q8NI17	IL31RA	Interleukin-31 receptor subunit alpha
UniProtKB:P36897	TGFBR1	TGF-beta receptor type-1
UniProtKB:P36896	ACVR1B	Activin receptor type-1B
UniProtKB:Q15303	ERBB4	Receptor tyrosine-protein kinase erbB-4
UniProtKB:P36888	FLT3	Receptor-type tyrosine-protein kinase FLT3
UniProtKB:Q6UX46	ALKAL2	ALK and LTK ligand 2
UniProtKB:Q8N1B3	CCNQ	Cyclin-Q
UniProtKB:P06213	INSR	Insulin receptor
UniProtKB:P21781	FGF7	Fibroblast growth factor 7
UniProtKB:Q8IXB1	DNAJC10	DnaJ homolog subfamily C member 10
UniProtKB:P28482	MAPK1	Mitogen-activated protein kinase 1
UniProtKB:P01275	GCG	Glucagon
UniProtKB:P33121	ACSL1	Long-chain-fatty-acid--CoA ligase 1
UniProtKB:P21730	C5AR1	C5a anaphylatoxin chemotactic receptor 1
UniProtKB:O75462	CRLF1	Cytokine receptor-like factor 1
UniProtKB:Q8N0V5	GCNT2	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase
UniProtKB:P21728	DRD1	D(1A) dopamine receptor
UniProtKB:P01258	CALCA	Calcitonin
UniProtKB:Q99616	CCL13	C-C motif chemokine 13
UniProtKB:P01241	GH1	Somatotropin
UniProtKB:P21709	EPHA1	Ephrin type-A receptor 1
UniProtKB:Q8N122	RPTOR	Regulatory-associated protein of mTOR
UniProtKB:P31994	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b
UniProtKB:Q8IXQ6	PARP9	Poly [ADP-ribose] polymerase 9
UniProtKB:P31947	SFN	14-3-3 protein sigma
UniProtKB:Q92769	HDAC2	Histone deacetylase 2
UniProtKB:Q99497	PARK7	Protein/nucleic acid deglycase DJ-1
UniProtKB:Q92786	PROX1	Prospero homeobox protein 1
UniProtKB:Q99683	MAP3K5	Mitogen-activated protein kinase kinase kinase 5
UniProtKB:Q8TDZ2	MICAL1	[F-actin]-monooxygenase MICAL1
UniProtKB:P18146	EGR1	Early growth response protein 1
UniProtKB:P06748	NPM1	Nucleophosmin
UniProtKB:Q15910	EZH2	Histone-lysine N-methyltransferase EZH2
UniProtKB:P21695	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
UniProtKB:Q15904	ATP6AP1	V-type proton ATPase subunit S1
UniProtKB:Q96C74	ROPN1L	Ropporin-1-like protein
UniProtKB:Q86Z14	KLB	Beta-klotho
UniProtKB:P28335	HTR2C	5-hydroxytryptamine receptor 2C
UniProtKB:Q92997	DVL3	Segment polarity protein dishevelled homolog DVL-3
UniProtKB:O76074	PDE5A	cGMP-specific 3',5'-cyclic phosphodiesterase
UniProtKB:Q6UXT8	ALKAL1	ALK and LTK ligand 1
UniProtKB:P11234	RALB	Ras-related protein Ral-B
UniProtKB:O76050	NEURL1	E3 ubiquitin-protein ligase NEURL1
UniProtKB:Q15761	NPY5R	Neuropeptide Y receptor type 5
UniProtKB:Q8WXG6	MADD	MAP kinase-activating death domain protein
UniProtKB:Q15759	MAPK11	Mitogen-activated protein kinase 11
UniProtKB:Q15750	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
UniProtKB:Q15742	NAB2	NGFI-A-binding protein 2
UniProtKB:Q15735	INPP5J	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A
UniProtKB:Q15726	KISS1	Metastasis-suppressor KiSS-1
UniProtKB:P14635	CCNB1	G2/mitotic-specific cyclin-B1
UniProtKB:P24863	CCNC	Cyclin-C
UniProtKB:P25445	FAS	Tumor necrosis factor receptor superfamily member 6
UniProtKB:P10644	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit
UniProtKB:P21462	FPR1	fMet-Leu-Phe receptor
UniProtKB:P40933	IL15	Interleukin-15
UniProtKB:P47992	XCL1	Lymphotactin
UniProtKB:P49918	CDKN1C	Cyclin-dependent kinase inhibitor 1C
UniProtKB:P59044	NLRP6	NACHT, LRR and PYD domains-containing protein 6
UniProtKB:Q8WUJ0	STYX	Serine/threonine/tyrosine-interacting protein
UniProtKB:P63215	GNG3	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3
UniProtKB:Q8NFT6	DBF4B	Protein DBF4 homolog B
UniProtKB:Q99996	AKAP9	A-kinase anchor protein 9
UniProtKB:Q99972	MYOC	Myocilin
UniProtKB:Q99969	RARRES2	Retinoic acid receptor responder protein 2
UniProtKB:Q99728	BARD1	BRCA1-associated RING domain protein 1
UniProtKB:Q99956	DUSP9	Dual specificity protein phosphatase 9
UniProtKB:Q99741	CDC6	Cell division control protein 6 homolog
UniProtKB:Q9Y616	IRAK3	Interleukin-1 receptor-associated kinase 3
UniProtKB:P31689	DNAJA1	DnaJ homolog subfamily A member 1
UniProtKB:Q99759	MAP3K3	Mitogen-activated protein kinase kinase kinase 3
UniProtKB:Q8WWQ0	PHIP	PH-interacting protein
UniProtKB:P31751	AKT2	RAC-beta serine/threonine-protein kinase
UniProtKB:P43034	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha
UniProtKB:P43026	GDF5	Growth/differentiation factor 5
UniProtKB:P53350	PLK1	Serine/threonine-protein kinase PLK1
UniProtKB:Q8WWL7	CCNB3	G2/mitotic-specific cyclin-B3
UniProtKB:Q08AM6	VAC14	Protein VAC14 homolog
UniProtKB:Q15672	TWIST1	Twist-related protein 1
UniProtKB:Q15669	RHOH	Rho-related GTP-binding protein RhoH
UniProtKB:P38936	CDKN1A	Cyclin-dependent kinase inhibitor 1
UniProtKB:Q8TDR0	TRAF3IP1	TRAF3-interacting protein 1
UniProtKB:Q8TDQ0	HAVCR2	Hepatitis A virus cellular receptor 2
UniProtKB:P51636	CAV2	Caveolin-2
UniProtKB:Q86Y37	CACUL1	CDK2-associated and cullin domain-containing protein 1
UniProtKB:Q8IXJ6	SIRT2	NAD-dependent protein deacetylase sirtuin-2
UniProtKB:P31151	S100A7	Protein S100-A7
UniProtKB:P51617	IRAK1	Interleukin-1 receptor-associated kinase 1
UniProtKB:P63000	RAC1	Ras-related C3 botulinum toxin substrate 1
UniProtKB:P46940	IQGAP1	Ras GTPase-activating-like protein IQGAP1
UniProtKB:Q86Y07	VRK2	Serine/threonine-protein kinase VRK2
UniProtKB:P01563	IFNA2	Interferon alpha-2
UniProtKB:P01568	IFNA21	Interferon alpha-21
UniProtKB:P01569	IFNA5	Interferon alpha-5
UniProtKB:Q86XL3	ANKLE2	Ankyrin repeat and LEM domain-containing protein 2
UniProtKB:P01571	IFNA17	Interferon alpha-17
UniProtKB:P01574	IFNB1	Interferon beta
UniProtKB:P26441	CNTF	Ciliary neurotrophic factor
UniProtKB:Q15185	PTGES3	Prostaglandin E synthase 3
UniProtKB:Q15173	PPP2R5B	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform
UniProtKB:Q15172	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
UniProtKB:Q15139	PRKD1	Serine/threonine-protein kinase D1
UniProtKB:Q6NXT1	ANKRD54	Ankyrin repeat domain-containing protein 54
UniProtKB:Q15121	PEA15	Astrocytic phosphoprotein PEA-15
UniProtKB:O00292	LEFTY2	Left-right determination factor 2
UniProtKB:Q15109	AGER	Advanced glycosylation end product-specific receptor
UniProtKB:P61812	TGFB2	Transforming growth factor beta-2
UniProtKB:Q504T8	MIDN	Midnolin
UniProtKB:O00255	MEN1	Menin
UniProtKB:P04792	HSPB1	Heat shock protein beta-1
UniProtKB:Q8IWV1	LAX1	Lymphocyte transmembrane adapter 1
UniProtKB:O00220	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A
UniProtKB:P23229	ITGA6	Integrin alpha-6
UniProtKB:Q13956	PDE6H	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
UniProtKB:Q8TCU6	PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein
UniProtKB:O14793	MSTN	Growth/differentiation factor 8
UniProtKB:O14788	TNFSF11	Tumor necrosis factor ligand superfamily member 11
UniProtKB:O14786	NRP1	Neuropilin-1
UniProtKB:Q5T2Q4	CCNYL2	Cyclin-Y-like protein 2
UniProtKB:P61073	CXCR4	C-X-C chemokine receptor type 4
UniProtKB:P35372	OPRM1	Mu-type opioid receptor
UniProtKB:P35368	ADRA1B	Alpha-1B adrenergic receptor
UniProtKB:O14763	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B
UniProtKB:P35354	PTGS2	Prostaglandin G/H synthase 2
UniProtKB:P04054	PLA2G1B	Phospholipase A2
UniProtKB:P35348	ADRA1A	Alpha-1A adrenergic receptor
UniProtKB:O14744	PRMT5	Protein arginine N-methyltransferase 5
UniProtKB:P04062	GBA	Glucosylceramidase
UniProtKB:O14733	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7
UniProtKB:P23945	FSHR	Follicle-stimulating hormone receptor
UniProtKB:O14713	ITGB1BP1	Integrin beta-1-binding protein 1
UniProtKB:P16333	NCK1	Cytoplasmic protein NCK1
UniProtKB:A6NJW4	LRRC3C	Leucine-rich repeat-containing protein 3C
UniProtKB:P25090	FPR2	N-formyl peptide receptor 2
UniProtKB:Q07912	TNK2	Activated CDC42 kinase 1
UniProtKB:Q9BSK2	SLC25A33	Solute carrier family 25 member 33
UniProtKB:P13688	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1
UniProtKB:P25063	CD24	Signal transducer CD24
UniProtKB:Q96PY6	NEK1	Serine/threonine-protein kinase Nek1
UniProtKB:P25054	APC	Adenomatous polyposis coli protein
UniProtKB:Q2MKA7	RSPO1	R-spondin-1
UniProtKB:Q9UL54	TAOK2	Serine/threonine-protein kinase TAO2
UniProtKB:Q9BT40	INPP5K	Inositol polyphosphate 5-phosphatase K
UniProtKB:P55774	CCL18	C-C motif chemokine 18
UniProtKB:P55773	CCL23	C-C motif chemokine 23
UniProtKB:P08922	ROS1	Proto-oncogene tyrosine-protein kinase ROS
UniProtKB:P08913	ADRA2A	Alpha-2A adrenergic receptor
UniProtKB:P04141	CSF2	Granulocyte-macrophage colony-stimulating factor
UniProtKB:O95718	ESRRB	Steroid hormone receptor ERR2
UniProtKB:O14641	DVL2	Segment polarity protein dishevelled homolog DVL-2
UniProtKB:P35240	NF2	Merlin
UniProtKB:P35232	PHB	Prohibitin
UniProtKB:Q5VWK5	IL23R	Interleukin-23 receptor
UniProtKB:P07333	CSF1R	Macrophage colony-stimulating factor 1 receptor
UniProtKB:Q16543	CDC37	Hsp90 co-chaperone Cdc37
UniProtKB:Q16539	MAPK14	Mitogen-activated protein kinase 14
UniProtKB:P42773	CDKN2C	Cyclin-dependent kinase 4 inhibitor C
UniProtKB:P42772	CDKN2B	Cyclin-dependent kinase 4 inhibitor B
UniProtKB:P42771	CDKN2A	Cyclin-dependent kinase inhibitor 2A
UniProtKB:Q16512	PKN1	Serine/threonine-protein kinase N1
UniProtKB:O43561	LAT	Linker for activation of T-cells family member 1
UniProtKB:Q96HA1	POM121	Nuclear envelope pore membrane protein POM 121
UniProtKB:P54132	BLM	Bloom syndrome protein
UniProtKB:Q9UJM3	ERRFI1	ERBB receptor feedback inhibitor 1
UniProtKB:Q9Y2C9	TLR6	Toll-like receptor 6
UniProtKB:O43597	SPRY2	Protein sprouty homolog 2
UniProtKB:O75694	NUP155	Nuclear pore complex protein Nup155
UniProtKB:Q9Y2G4	ANKRD6	Ankyrin repeat domain-containing protein 6
UniProtKB:O75676	RPS6KA4	Ribosomal protein S6 kinase alpha-4
UniProtKB:Q9Y2H2	INPP5F	Phosphatidylinositide phosphatase SAC2
UniProtKB:P49407	ARRB1	Beta-arrestin-1
UniProtKB:O75610	LEFTY1	Left-right determination factor 1
UniProtKB:P52948	NUP98	Nuclear pore complex protein Nup98-Nup96
UniProtKB:F6TDL0	LOC110117498-PIK3R3	Uncharacterized protein
UniProtKB:P32455	GBP1	Guanylate-binding protein 1
UniProtKB:A1A4Y4	IRGM	Immunity-related GTPase family M protein
UniProtKB:P42338	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
UniProtKB:O14830	PPEF2	Serine/threonine-protein phosphatase with EF-hands 2
UniProtKB:Q9Y376	CAB39	Calcium-binding protein 39
UniProtKB:O95988	TCL1B	T-cell leukemia/lymphoma protein 1B
UniProtKB:O95999	BCL10	B-cell lymphoma/leukemia 10
UniProtKB:Q9UIV1	CNOT7	CCR4-NOT transcription complex subunit 7
UniProtKB:P00540	MOS	Proto-oncogene serine/threonine-protein kinase mos
UniProtKB:P00533	EGFR	Epidermal growth factor receptor
UniProtKB:P00519	ABL1	Tyrosine-protein kinase ABL1
UniProtKB:P10398	ARAF	Serine/threonine-protein kinase A-Raf
UniProtKB:O95684	FGFR1OP	FGFR1 oncogene partner
UniProtKB:Q9NX74	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
UniProtKB:O95661	DIRAS3	GTP-binding protein Di-Ras3
UniProtKB:O75197	LRP5	Low-density lipoprotein receptor-related protein 5
UniProtKB:Q9Y4K4	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5
UniProtKB:Q6XLA1	CASC2	Protein CASC2, isoform 3
UniProtKB:P10912	GHR	Growth hormone receptor
UniProtKB:O75909	CCNK	Cyclin-K
UniProtKB:O95622	ADCY5	Adenylate cyclase type 5
UniProtKB:O75159	SOCS5	Suppressor of cytokine signaling 5
UniProtKB:O43283	MAP3K13	Mitogen-activated protein kinase kinase kinase 13
UniProtKB:O75116	ROCK2	Rho-associated protein kinase 2
UniProtKB:Q14833	GRM4	Metabotropic glutamate receptor 4
UniProtKB:Q96BS2	TESC	Calcineurin B homologous protein 3
UniProtKB:Q96FE7	PIK3IP1	Phosphoinositide-3-kinase-interacting protein 1
UniProtKB:Q8NEJ0	DUSP18	Dual specificity protein phosphatase 18
UniProtKB:Q9UDY8	MALT1	Mucosa-associated lymphoid tissue lymphoma translocation protein 1
UniProtKB:Q96BJ3	AIDA	Axin interactor, dorsalization-associated protein
UniProtKB:Q9UI95	MAD2L2	Mitotic spindle assembly checkpoint protein MAD2B
UniProtKB:Q9Y3S1	WNK2	Serine/threonine-protein kinase WNK2
UniProtKB:Q9Y6Q6	TNFRSF11A	Tumor necrosis factor receptor superfamily member 11A
UniProtKB:P10275	AR	Androgen receptor
UniProtKB:Q9Y3L5	RAP2C	Ras-related protein Rap-2c
UniProtKB:O75096	LRP4	Low-density lipoprotein receptor-related protein 4
UniProtKB:O75084	FZD7	Frizzled-7
UniProtKB:O75081	CBFA2T3	Protein CBFA2T3
UniProtKB:O75072	FKTN	Fukutin
UniProtKB:Q8NHW4	CCL4L1	C-C motif chemokine 4-like
UniProtKB:Q9Y4H2	IRS2	Insulin receptor substrate 2
UniProtKB:P10636	MAPT	Microtubule-associated protein tau
UniProtKB:O75460	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1
UniProtKB:P22004	BMP6	Bone morphogenetic protein 6
UniProtKB:P22003	BMP5	Bone morphogenetic protein 5
UniProtKB:O95905	ECD	Protein ecdysoneless homolog
UniProtKB:Q96EV8	DTNBP1	Dysbindin
UniProtKB:P10600	TGFB3	Transforming growth factor beta-3
UniProtKB:Q9UHD2	TBK1	Serine/threonine-protein kinase TBK1
UniProtKB:Q9UHD1	CHORDC1	Cysteine and histidine-rich domain-containing protein 1
UniProtKB:O43566	RGS14	Regulator of G-protein signaling 14
UniProtKB:O75674	TOM1L1	TOM1-like protein 1
UniProtKB:Q9UHA4	LAMTOR3	Ragulator complex protein LAMTOR3
UniProtKB:P32297	CHRNA3	Neuronal acetylcholine receptor subunit alpha-3
UniProtKB:O43541	SMAD6	Mothers against decapentaplegic homolog 6
UniProtKB:P52735	VAV2	Guanine nucleotide exchange factor VAV2
UniProtKB:Q6R327	RICTOR	Rapamycin-insensitive companion of mTOR
UniProtKB:P32249	GPR183	G-protein coupled receptor 183
UniProtKB:P32248	CCR7	C-C chemokine receptor type 7
UniProtKB:P32246	CCR1	C-C chemokine receptor type 1
UniProtKB:P32239	CCKBR	Gastrin/cholecystokinin type B receptor
UniProtKB:Q96EL1	FAM212A	PAK4-inhibitor INKA1
UniProtKB:P20827	EFNA1	Ephrin-A1
UniProtKB:P27540	ARNT	Aryl hydrocarbon receptor nuclear translocator
UniProtKB:Q9UEW3	MARCO	Macrophage receptor MARCO
UniProtKB:P42574	CASP3	Caspase-3
UniProtKB:Q9UEW8	STK39	STE20/SPS1-related proline-alanine-rich protein kinase
UniProtKB:Q16288	NTRK3	NT-3 growth factor receptor
UniProtKB:P20809	IL11	Interleukin-11
UniProtKB:P62993	GRB2	Growth factor receptor-bound protein 2
UniProtKB:P62987	UBA52	Ubiquitin-60S ribosomal protein L40
UniProtKB:P62979	RPS27A	Ubiquitin-40S ribosomal protein S27a
UniProtKB:O43823	AKAP8	A-kinase anchor protein 8
UniProtKB:P62942	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A
UniProtKB:Q96EB1	ELP4	Elongator complex protein 4
UniProtKB:Q70Z35	PREX2	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein
UniProtKB:Q9UGN4	CD300A	CMRF35-like molecule 8
UniProtKB:P10599	TXN	Thioredoxin
UniProtKB:Q9Y6N7	ROBO1	Roundabout homolog 1
UniProtKB:Q9H2J4	PDCL3	Phosducin-like protein 3
UniProtKB:Q16627	CCL14	C-C motif chemokine 14
UniProtKB:Q16620	NTRK2	BDNF/NT-3 growth factors receptor
UniProtKB:P49593	PPM1F	Protein phosphatase 1F
UniProtKB:Q16611	BAK1	Bcl-2 homologous antagonist/killer
UniProtKB:P10997	IAPP	Islet amyloid polypeptide
UniProtKB:Q9H2G4	TSPYL2	Testis-specific Y-encoded-like protein 2
UniProtKB:Q9H2G2	SLK	STE20-like serine/threonine-protein kinase
UniProtKB:P22362	CCL1	C-C motif chemokine 1
UniProtKB:P17020	ZNF16	Zinc finger protein 16
UniProtKB:Q9UEF7	KL	Klotho
UniProtKB:Q9UBD9	CLCF1	Cardiotrophin-like cytokine factor 1
UniProtKB:Q9UKJ0	PILRB	Paired immunoglobulin-like type 2 receptor beta
UniProtKB:O75787	ATP6AP2	Renin receptor
UniProtKB:Q96HY6	DDRGK1	DDRGK domain-containing protein 1
UniProtKB:Q9UKE5	TNIK	TRAF2 and NCK-interacting protein kinase
UniProtKB:O75342	ALOX12B	Arachidonate 12-lipoxygenase, 12R-type
UniProtKB:P10909	CLU	Clusterin
UniProtKB:P02765	AHSG	Alpha-2-HS-glycoprotein
UniProtKB:P17612	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha
UniProtKB:Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1
UniProtKB:Q6XR72	SLC30A10	Zinc transporter 10
UniProtKB:O95819	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4
UniProtKB:Q96P53	WDFY2	WD repeat and FYVE domain-containing protein 2
UniProtKB:Q9Y258	CCL26	C-C motif chemokine 26
UniProtKB:Q9H257	CARD9	Caspase recruitment domain-containing protein 9
UniProtKB:Q9Y264	ANGPT4	Angiopoietin-4
UniProtKB:Q30KQ6	DEFB114	Beta-defensin 114
UniProtKB:Q5VWQ8	DAB2IP	Disabled homolog 2-interacting protein
UniProtKB:Q9H1R2	DUSP15	Dual specificity protein phosphatase 15
UniProtKB:Q9P296	C5AR2	C5a anaphylatoxin chemotactic receptor 2
UniProtKB:Q9H223	EHD4	EH domain-containing protein 4
