UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q86UX6	STK32C	Serine/threonine-protein kinase 32C
UniProtKB:Q6IQ55	TTBK2	Tau-tubulin kinase 2
UniProtKB:Q86V86	PIM3	Serine/threonine-protein kinase pim-3
UniProtKB:Q8IV04	TBC1D10C	Carabin
UniProtKB:Q8TB45	DEPTOR	DEP domain-containing mTOR-interacting protein
UniProtKB:Q8TAS1	UHMK1	Serine/threonine-protein kinase Kist
UniProtKB:P78556	CCL20	C-C motif chemokine 20
UniProtKB:Q9BZX4	ROPN1B	Ropporin-1B
UniProtKB:Q9BZX2	UCK2	Uridine-cytidine kinase 2
UniProtKB:P78536	ADAM17	Disintegrin and metalloproteinase domain-containing protein 17
UniProtKB:Q13705	ACVR2B	Activin receptor type-2B
UniProtKB:Q8TAP4	LMO3	LIM domain only protein 3
UniProtKB:P78527	PRKDC	DNA-dependent protein kinase catalytic subunit
UniProtKB:Q9BZR6	RTN4R	Reticulon-4 receptor
UniProtKB:P14784	IL2RB	Interleukin-2 receptor subunit beta
UniProtKB:P14780	MMP9	Matrix metalloproteinase-9
UniProtKB:P08575	PTPRC	Receptor-type tyrosine-protein phosphatase C
UniProtKB:Q86UN3	RTN4RL2	Reticulon-4 receptor-like 2
UniProtKB:P08581	MET	Hepatocyte growth factor receptor
UniProtKB:P58004	SESN2	Sestrin-2
UniProtKB:Q8IUD2	ERC1	ELKS/Rab6-interacting/CAST family member 1
UniProtKB:P61586	RHOA	Transforming protein RhoA
UniProtKB:Q9BZL6	PRKD2	Serine/threonine-protein kinase D2
UniProtKB:Q96QE5	TEFM	Transcription elongation factor, mitochondrial
UniProtKB:Q13009	TIAM1	T-lymphoma invasion and metastasis-inducing protein 1
UniProtKB:Q13007	IL24	Interleukin-24
UniProtKB:Q13002	GRIK2	Glutamate receptor ionotropic, kainate 2
UniProtKB:Q08345	DDR1	Epithelial discoidin domain-containing receptor 1
UniProtKB:Q9NVK5	FGFR1OP2	FGFR1 oncogene partner 2
UniProtKB:Q5SRE5	NUP188	Nucleoporin NUP188 homolog
UniProtKB:O43306	ADCY6	Adenylate cyclase type 6
UniProtKB:Q9UMX5	NENF	Neudesin
UniProtKB:P02686	MBP	Myelin basic protein
UniProtKB:Q9NVF9	ETNK2	Ethanolamine kinase 2
UniProtKB:P02679	FGG	Fibrinogen gamma chain
UniProtKB:P02675	FGB	Fibrinogen beta chain
UniProtKB:P02671	FGA	Fibrinogen alpha chain
UniProtKB:Q9NVE7	PANK4	Pantothenate kinase 4
UniProtKB:P02649	APOE	Apolipoprotein E
UniProtKB:P02647	APOA1	Apolipoprotein A-I
UniProtKB:O60733	PLA2G6	85/88 kDa calcium-independent phospholipase A2
UniProtKB:Q96PV0	SYNGAP1	Ras/Rap GTPase-activating protein SynGAP
UniProtKB:P56199	ITGA1	Integrin alpha-1
UniProtKB:P56181	NDUFV3	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
UniProtKB:Q96Q42	ALS2	Alsin
UniProtKB:A8CG34	POM121C	Nuclear envelope pore membrane protein POM 121C
UniProtKB:Q96Q40	CDK15	Cyclin-dependent kinase 15
UniProtKB:H3BT56	CHKB-CPT1B	CHKB-CPT1B readthrough (NMD candidate)
UniProtKB:Q52WX2	SBK1	Serine/threonine-protein kinase SBK1
UniProtKB:P56159	GFRA1	GDNF family receptor alpha-1
UniProtKB:Q9BSF8	BTBD10	BTB/POZ domain-containing protein 10
UniProtKB:Q96Q15	SMG1	Serine/threonine-protein kinase SMG1
UniProtKB:Q96Q04	LMTK3	Serine/threonine-protein kinase LMTK3
UniProtKB:O15075	DCLK1	Serine/threonine-protein kinase DCLK1
UniProtKB:Q96PN8	TSSK3	Testis-specific serine/threonine-protein kinase 3
UniProtKB:Q9H9T3	ELP3	Elongator complex protein 3
UniProtKB:P30085	CMPK1	UMP-CMP kinase
UniProtKB:O15031	PLXNB2	Plexin-B2
UniProtKB:O15021	MAST4	Microtubule-associated serine/threonine-protein kinase 4
UniProtKB:O15020	SPTBN2	Spectrin beta chain, non-erythrocytic 2
UniProtKB:Q6PEZ8	PODNL1	Podocan-like protein 1
UniProtKB:P12821	ACE	Angiotensin-converting enzyme
UniProtKB:P19525	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase
UniProtKB:Q9BRX9	WDR83	WD repeat domain-containing protein 83
UniProtKB:Q96PC2	IP6K3	Inositol hexakisphosphate kinase 3
UniProtKB:Q9BRR6	ADPGK	ADP-dependent glucokinase
UniProtKB:Q9C030	TRIM6	Tripartite motif-containing protein 6
UniProtKB:O60687	SRPX2	Sushi repeat-containing protein SRPX2
UniProtKB:O60674	JAK2	Tyrosine-protein kinase JAK2
UniProtKB:O60658	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A
UniProtKB:P02549	SPTA1	Spectrin alpha chain, erythrocytic 1
UniProtKB:Q9H4X1	RGCC	Regulator of cell cycle RGCC
UniProtKB:Q9UL46	PSME2	Proteasome activator complex subunit 2
UniProtKB:Q06609	RAD51	DNA repair protein RAD51 homolog 1
UniProtKB:Q49MI3	CERKL	Ceramide kinase-like protein
UniProtKB:P00995	SPINK1	Serine protease inhibitor Kazal-type 1
UniProtKB:Q9NQ88	TIGAR	Fructose-2,6-bisphosphatase TIGAR
UniProtKB:Q96KJ9	COX4I2	Cytochrome c oxidase subunit 4 isoform 2, mitochondrial
UniProtKB:Q9H521	Q9H521	Putative uncharacterized protein LOC645739
UniProtKB:Q16890	TPD52L1	Tumor protein D53
UniProtKB:Q01082	SPTBN1	Spectrin beta chain, non-erythrocytic 1
UniProtKB:Q9H4P4	RNF41	E3 ubiquitin-protein ligase NRDP1
UniProtKB:Q16875	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3
UniProtKB:Q96KG9	SCYL1	N-terminal kinase-like protein
UniProtKB:Q5GJ75	TNFAIP8L3	Tumor necrosis factor alpha-induced protein 8-like protein 3
UniProtKB:Q9NQ11	ATP13A2	Cation-transporting ATPase 13A2
UniProtKB:Q16854	DGUOK	Deoxyguanosine kinase, mitochondrial
UniProtKB:Q16832	DDR2	Discoidin domain-containing receptor 2
UniProtKB:Q9P0L2	MARK1	Serine/threonine-protein kinase MARK1
UniProtKB:Q16829	DUSP7	Dual specificity protein phosphatase 7
UniProtKB:Q16828	DUSP6	Dual specificity protein phosphatase 6
UniProtKB:P05412	JUN	Transcription factor AP-1
UniProtKB:P49798	RGS4	Regulator of G-protein signaling 4
UniProtKB:P49792	RANBP2	E3 SUMO-protein ligase RanBP2
UniProtKB:Q32MK0	MYLK3	Myosin light chain kinase 3
UniProtKB:Q16816	PHKG1	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform
UniProtKB:Q9UQ88	CDK11A	Cyclin-dependent kinase 11A
UniProtKB:Q9H4H8	FAM83D	Protein FAM83D
UniProtKB:P49771	FLT3LG	Fms-related tyrosine kinase 3 ligand
UniProtKB:P49767	VEGFC	Vascular endothelial growth factor C
UniProtKB:P49761	CLK3	Dual specificity protein kinase CLK3
UniProtKB:P49760	CLK2	Dual specificity protein kinase CLK2
UniProtKB:Q93062	RBPMS	RNA-binding protein with multiple splicing
UniProtKB:O43293	DAPK3	Death-associated protein kinase 3
UniProtKB:P49759	CLK1	Dual specificity protein kinase CLK1
UniProtKB:Q9P104	DOK5	Docking protein 5
UniProtKB:P29279	CTGF	Connective tissue growth factor
UniProtKB:P29275	ADORA2B	Adenosine receptor A2b
UniProtKB:P29274	ADORA2A	Adenosine receptor A2a
UniProtKB:Q9NPF7	IL23A	Interleukin-23 subunit alpha
UniProtKB:Q9H4B4	PLK3	Serine/threonine-protein kinase PLK3
UniProtKB:P49721	PSMB2	Proteasome subunit beta type-2
UniProtKB:P49720	PSMB3	Proteasome subunit beta type-3
UniProtKB:O75962	TRIO	Triple functional domain protein
UniProtKB:P49715	CEBPA	CCAAT/enhancer-binding protein alpha
UniProtKB:Q9H4A3	WNK1	Serine/threonine-protein kinase WNK1
UniProtKB:O75955	FLOT1	Flotillin-1
UniProtKB:P17858	PFKL	ATP-dependent 6-phosphofructokinase, liver type
UniProtKB:O75131	CPNE3	Copine-3
UniProtKB:O75943	RAD17	Cell cycle checkpoint protein RAD17
UniProtKB:Q9NPB6	PARD6A	Partitioning defective 6 homolog alpha
UniProtKB:P29218	IMPA1	Inositol monophosphatase 1
UniProtKB:O75915	ARL6IP5	PRA1 family protein 3
UniProtKB:O75914	PAK3	Serine/threonine-protein kinase PAK 3
UniProtKB:O75912	DGKI	Diacylglycerol kinase iota
UniProtKB:P17813	ENG	Endoglin
UniProtKB:A0A1B0GUL7	A0A1B0GUL7	Uncharacterized protein
UniProtKB:Q11201	ST3GAL1	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
UniProtKB:Q9H3Y6	SRMS	Tyrosine-protein kinase Srms
UniProtKB:P32780	GTF2H1	General transcription factor IIH subunit 1
UniProtKB:Q96JP5	ZFP91	E3 ubiquitin-protein ligase ZFP91
UniProtKB:P54762	EPHB1	Ephrin type-B receptor 1
UniProtKB:P54760	EPHB4	Ephrin type-B receptor 4
UniProtKB:Q08050	FOXM1	Forkhead box protein M1
UniProtKB:Q8WXW3	PIBF1	Progesterone-induced-blocking factor 1
UniProtKB:P54756	EPHA5	Ephrin type-A receptor 5
UniProtKB:Q08043	ACTN3	Alpha-actinin-3
UniProtKB:Q9UQ05	KCNH4	Potassium voltage-gated channel subfamily H member 4
UniProtKB:P07900	HSP90AA1	Heat shock protein HSP 90-alpha
UniProtKB:Q9NSI8	SAMSN1	SAM domain-containing protein SAMSN-1
UniProtKB:P29597	TYK2	Non-receptor tyrosine-protein kinase TYK2
UniProtKB:P29590	PML	Protein PML
UniProtKB:Q9BQ24	ZFYVE21	Zinc finger FYVE domain-containing protein 21
UniProtKB:Q9H7B4	SMYD3	Histone-lysine N-methyltransferase SMYD3
UniProtKB:O60469	DSCAM	Down syndrome cell adhesion molecule
UniProtKB:O60462	NRP2	Neuropilin-2
UniProtKB:O60443	DFNA5	Non-syndromic hearing impairment protein 5
UniProtKB:Q9UPE1	SRPK3	SRSF protein kinase 3
UniProtKB:P29508	SERPINB3	Serpin B3
UniProtKB:P30304	CDC25A	M-phase inducer phosphatase 1
UniProtKB:P09038	FGF2	Fibroblast growth factor 2
UniProtKB:Q02779	MAP3K10	Mitogen-activated protein kinase kinase kinase 10
UniProtKB:Q6PCE3	PGM2L1	Glucose 1,6-bisphosphate synthase
UniProtKB:Q14164	IKBKE	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
UniProtKB:Q6PCB7	SLC27A1	Long-chain fatty acid transport protein 1
UniProtKB:Q6ZNE5	ATG14	Beclin 1-associated autophagy-related key regulator
UniProtKB:Q9H756	LRRC19	Leucine-rich repeat-containing protein 19
UniProtKB:Q9NS75	CYSLTR2	Cysteinyl leukotriene receptor 2
UniProtKB:Q9NS73	MBIP	MAP3K12-binding inhibitory protein 1
UniProtKB:Q96MK3	FAM20A	Pseudokinase FAM20A
UniProtKB:O43474	KLF4	Krueppel-like factor 4
UniProtKB:O95393	BMP10	Bone morphogenetic protein 10
UniProtKB:P12532	CKMT1A	Creatine kinase U-type, mitochondrial
UniProtKB:Q96MH2	HEXIM2	Protein HEXIM2
UniProtKB:Q9H706	GAREM1	GRB2-associated and regulator of MAPK protein 1
UniProtKB:Q9H6Q3	SLA2	Src-like-adapter 2
UniProtKB:Q9NRM7	LATS2	Serine/threonine-protein kinase LATS2
UniProtKB:V9GXZ4	FPGT-TNNI3K	FPGT-TNNI3K readthrough
UniProtKB:Q96MA6	AK8	Adenylate kinase 8
UniProtKB:P54619	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1
UniProtKB:P49959	MRE11	Double-strand break repair protein MRE11
UniProtKB:Q9NRH2	SNRK	SNF-related serine/threonine-protein kinase
UniProtKB:O60383	GDF9	Growth/differentiation factor 9
UniProtKB:Q6ZMQ8	AATK	Serine/threonine-protein kinase LMTK1
UniProtKB:P29460	IL12B	Interleukin-12 subunit beta
UniProtKB:Q6ZN16	MAP3K15	Mitogen-activated protein kinase kinase kinase 15
UniProtKB:O60361	NME2P1	Putative nucleoside diphosphate kinase
UniProtKB:P29459	IL12A	Interleukin-12 subunit alpha
UniProtKB:Q6ZN04	MEX3B	RNA-binding protein MEX3B
UniProtKB:Q7Z4P5	GDF7	Growth/differentiation factor 7
UniProtKB:P55107	GDF10	Growth/differentiation factor 10
UniProtKB:P55103	INHBC	Inhibin beta C chain
UniProtKB:Q7Z4L0	COX8C	Cytochrome c oxidase subunit 8C, mitochondrial
UniProtKB:P10301	RRAS	Ras-related protein R-Ras
UniProtKB:P18545	PDE6G	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
UniProtKB:Q8N4C8	MINK1	Misshapen-like kinase 1
UniProtKB:Q9HA64	FN3KRP	Ketosamine-3-kinase
UniProtKB:P11802	CDK4	Cyclin-dependent kinase 4
UniProtKB:P11801	PSKH1	Serine/threonine-protein kinase H1
UniProtKB:Q7Z4H4	ADM2	ADM2
UniProtKB:Q00537	CDK17	Cyclin-dependent kinase 17
UniProtKB:Q00536	CDK16	Cyclin-dependent kinase 16
UniProtKB:Q00535	CDK5	Cyclin-dependent-like kinase 5
UniProtKB:Q00534	CDK6	Cyclin-dependent kinase 6
UniProtKB:Q00532	CDKL1	Cyclin-dependent kinase-like 1
UniProtKB:Q8TAA3	PSMA8	Proteasome subunit alpha type-7-like
UniProtKB:Q00526	CDK3	Cyclin-dependent kinase 3
UniProtKB:P18509	ADCYAP1	Pituitary adenylate cyclase-activating polypeptide
UniProtKB:O00746	NME4	Nucleoside diphosphate kinase, mitochondrial
UniProtKB:P01589	IL2RA	Interleukin-2 receptor subunit alpha
UniProtKB:P01588	EPO	Erythropoietin
UniProtKB:P01584	IL1B	Interleukin-1 beta
UniProtKB:P01579	IFNG	Interferon gamma
UniProtKB:P01570	IFNA14	Interferon alpha-14
UniProtKB:P01567	IFNA7	Interferon alpha-7
UniProtKB:P01566	IFNA10	Interferon alpha-10
UniProtKB:Q8N474	SFRP1	Secreted frizzled-related protein 1
UniProtKB:P01562	IFNA1	Interferon alpha-1/13
UniProtKB:P28749	RBL1	Retinoblastoma-like protein 1
UniProtKB:O94992	HEXIM1	Protein HEXIM1
UniProtKB:Q9BZQ8	FAM129A	Protein Niban
UniProtKB:Q8N441	FGFRL1	Fibroblast growth factor receptor-like 1
UniProtKB:Q8N427	NME8	Thioredoxin domain-containing protein 3
UniProtKB:P08246	ELANE	Neutrophil elastase
UniProtKB:P55089	UCN	Urocortin
UniProtKB:P55085	F2RL1	Proteinase-activated receptor 2
UniProtKB:P08238	HSP90AB1	Heat shock protein HSP 90-beta
UniProtKB:P08237	PFKM	ATP-dependent 6-phosphofructokinase, muscle type
UniProtKB:P55075	FGF8	Fibroblast growth factor 8
UniProtKB:P43686	PSMC4	26S proteasome regulatory subunit 6B
UniProtKB:P55072	VCP	Transitional endoplasmic reticulum ATPase
UniProtKB:Q9Y2H1	STK38L	Serine/threonine-protein kinase 38-like
UniProtKB:Q86UW6	N4BP2	NEDD4-binding protein 2
UniProtKB:P55036	PSMD4	26S proteasome non-ATPase regulatory subunit 4
UniProtKB:O00585	CCL21	C-C motif chemokine 21
UniProtKB:Q7L9L4	MOB1B	MOB kinase activator 1B
UniProtKB:Q7Z434	MAVS	Mitochondrial antiviral-signaling protein
UniProtKB:P55008	AIF1	Allograft inflammatory factor 1
UniProtKB:Q8IV61	RASGRP3	Ras guanyl-releasing protein 3
UniProtKB:P23142	FBLN1	Fibulin-1
UniProtKB:Q5KSL6	DGKK	Diacylglycerol kinase kappa
UniProtKB:P11717	IGF2R	Cation-independent mannose-6-phosphate receptor
UniProtKB:Q3LXA3	TKFC	Triokinase/FMN cyclase
UniProtKB:Q13813	SPTAN1	Spectrin alpha chain, non-erythrocytic 1
UniProtKB:P18433	PTPRA	Receptor-type tyrosine-protein phosphatase alpha
UniProtKB:Q9HAZ1	CLK4	Dual specificity protein kinase CLK4
UniProtKB:A5LHX3	PSMB11	Proteasome subunit beta type-11
UniProtKB:O14965	AURKA	Aurora kinase A
UniProtKB:Q9BVC4	MLST8	Target of rapamycin complex subunit LST8
UniProtKB:O15354	GPR37	Prosaposin receptor GPR37
UniProtKB:O15350	TP73	Tumor protein p73
UniProtKB:Q96SL8	FIZ1	Flt3-interacting zinc finger protein 1
UniProtKB:Q68CR7	LRRC66	Leucine-rich repeat-containing protein 66
UniProtKB:O15344	MID1	E3 ubiquitin-protein ligase Midline-1
UniProtKB:Q9NY74	ETAA1	Ewing's tumor-associated antigen 1
UniProtKB:P04085	PDGFA	Platelet-derived growth factor subunit A
UniProtKB:Q9P2D0	IBTK	Inhibitor of Bruton tyrosine kinase
UniProtKB:Q9NY57	STK32B	Serine/threonine-protein kinase 32B
UniProtKB:P24530	EDNRB	Endothelin receptor type B
UniProtKB:P24522	GADD45A	Growth arrest and DNA damage-inducible protein GADD45 alpha
UniProtKB:Q13263	TRIM28	Transcription intermediary factor 1-beta
UniProtKB:P04049	RAF1	RAF proto-oncogene serine/threonine-protein kinase
UniProtKB:Q13253	NOG	Noggin
UniProtKB:P04035	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
UniProtKB:Q76NI1	KNDC1	Protein very KIND
UniProtKB:Q13239	SLA	Src-like-adapter
UniProtKB:Q13237	PRKG2	cGMP-dependent protein kinase 2
UniProtKB:Q13232	NME3	Nucleoside diphosphate kinase 3
UniProtKB:Q13227	GPS2	G protein pathway suppressor 2
UniProtKB:Q13224	GRIN2B	Glutamate receptor ionotropic, NMDA 2B
UniProtKB:P04004	VTN	Vitronectin
UniProtKB:Q13217	DNAJC3	DnaJ homolog subfamily C member 3
UniProtKB:Q96SB4	SRPK1	SRSF protein kinase 1
UniProtKB:Q13202	DUSP8	Dual specificity protein phosphatase 8
UniProtKB:Q13200	PSMD2	26S proteasome non-ATPase regulatory subunit 2
UniProtKB:Q6PHR2	ULK3	Serine/threonine-protein kinase ULK3
UniProtKB:Q9BV47	DUSP26	Dual specificity protein phosphatase 26
UniProtKB:Q9NXH3	PPP1R14D	Protein phosphatase 1 regulatory subunit 14D
UniProtKB:Q58A45	PAN3	PAN2-PAN3 deadenylation complex subunit PAN3
UniProtKB:Q9ULZ1	APLN	Apelin
UniProtKB:Q9ULZ2	STAP1	Signal-transducing adaptor protein 1
UniProtKB:Q9H461	FZD8	Frizzled-8
UniProtKB:P46109	CRKL	Crk-like protein
UniProtKB:P46108	CRK	Adapter molecule crk
UniProtKB:Q96S95	CAMK2N2	Calcium/calmodulin-dependent protein kinase II inhibitor 2
UniProtKB:Q96S94	CCNL2	Cyclin-L2
UniProtKB:P61088	UBE2N	Ubiquitin-conjugating enzyme E2 N
UniProtKB:P61086	UBE2K	Ubiquitin-conjugating enzyme E2 K
UniProtKB:Q9H479	FN3K	Fructosamine-3-kinase
UniProtKB:O60934	NBN	Nibrin
UniProtKB:Q96RU8	TRIB1	Tribbles homolog 1
UniProtKB:O60921	HUS1	Checkpoint protein HUS1
UniProtKB:P14210	HGF	Hepatocyte growth factor
UniProtKB:Q96S59	RANBP9	Ran-binding protein 9
UniProtKB:Q96S53	TESK2	Dual specificity testis-specific protein kinase 2
UniProtKB:Q96S44	TP53RK	TP53-regulating kinase
UniProtKB:Q96S42	NODAL	Nodal homolog
UniProtKB:Q9GZZ8	LACRT	Extracellular glycoprotein lacritin
UniProtKB:Q9GZZ7	GFRA4	GDNF family receptor alpha-4
UniProtKB:Q5T4W7	ARTN	Artemin
UniProtKB:P09529	INHBB	Inhibin beta B chain
UniProtKB:Q96S38	RPS6KC1	Ribosomal protein S6 kinase delta-1
UniProtKB:Q96RR4	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2
UniProtKB:P61024	CKS1B	Cyclin-dependent kinases regulatory subunit 1
UniProtKB:O15297	PPM1D	Protein phosphatase 1D
UniProtKB:O15294	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
UniProtKB:Q9NWZ5	UCKL1	Uridine-cytidine kinase-like 1
UniProtKB:Q9NWZ3	IRAK4	Interleukin-1 receptor-associated kinase 4
UniProtKB:Q9GZV9	FGF23	Fibroblast growth factor 23
UniProtKB:Q9GZV5	WWTR1	WW domain-containing transcription regulator protein 1
UniProtKB:O15265	ATXN7	Ataxin-7
UniProtKB:O15264	MAPK13	Mitogen-activated protein kinase 13
UniProtKB:Q9GZU5	NYX	Nyctalopin
UniProtKB:P24468	NR2F2	COUP transcription factor 2
UniProtKB:Q9BUB5	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1
UniProtKB:Q05639	EEF1A2	Elongation factor 1-alpha 2
UniProtKB:Q8WYR1	PIK3R5	Phosphoinositide 3-kinase regulatory subunit 5
UniProtKB:Q92831	KAT2B	Histone acetyltransferase KAT2B
UniProtKB:Q8WYQ3	CHCHD10	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial
UniProtKB:P43250	GRK6	G protein-coupled receptor kinase 6
UniProtKB:Q99572	P2RX7	P2X purinoceptor 7
UniProtKB:Q99578	RIT2	GTP-binding protein Rit2
UniProtKB:P43246	MSH2	DNA mismatch repair protein Msh2
UniProtKB:P11387	TOP1	DNA topoisomerase 1
UniProtKB:Q92878	RAD50	DNA repair protein RAD50
UniProtKB:Q9Y4K3	TRAF6	TNF receptor-associated factor 6
UniProtKB:P11362	FGFR1	Fibroblast growth factor receptor 1
UniProtKB:P18089	ADRA2B	Alpha-2B adrenergic receptor
UniProtKB:Q3V6T2	CCDC88A	Girdin
UniProtKB:P18075	BMP7	Bone morphogenetic protein 7
UniProtKB:P18074	ERCC2	TFIIH basal transcription factor complex helicase XPD subunit
UniProtKB:O00311	CDC7	Cell division cycle 7-related protein kinase
UniProtKB:P11309	PIM1	Serine/threonine-protein kinase pim-1
UniProtKB:P11308	ERG	Transcriptional regulator ERG
UniProtKB:P18031	PTPN1	Tyrosine-protein phosphatase non-receptor type 1
UniProtKB:P28066	PSMA5	Proteasome subunit alpha type-5
UniProtKB:Q15848	ADIPOQ	Adiponectin
UniProtKB:Q5TCY1	TTBK1	Tau-tubulin kinase 1
UniProtKB:P28070	PSMB4	Proteasome subunit beta type-4
UniProtKB:Q15835	GRK1	Rhodopsin kinase
UniProtKB:P21359	NF1	Neurofibromin
UniProtKB:Q00013	MPP1	55 kDa erythrocyte membrane protein
UniProtKB:Q15811	ITSN1	Intersectin-1
UniProtKB:P21583	KITLG	Kit ligand
UniProtKB:P21580	TNFAIP3	Tumor necrosis factor alpha-induced protein 3
UniProtKB:P27539	GDF1	Embryonic growth/differentiation factor 1
UniProtKB:Q5TCS8	AK9	Adenylate kinase 9
UniProtKB:Q5TCQ9	MAGI3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3
UniProtKB:Q6UXB2	CXCL17	C-X-C motif chemokine 17
UniProtKB:P48736	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
UniProtKB:P48730	CSNK1D	Casein kinase I isoform delta
UniProtKB:P48729	CSNK1A1	Casein kinase I isoform alpha
UniProtKB:P06493	CDK1	Cyclin-dependent kinase 1
UniProtKB:P26927	MST1	Hepatocyte growth factor-like protein
UniProtKB:P01031	C5	Complement C5
UniProtKB:Q05586	GRIN1	Glutamate receptor ionotropic, NMDA 1
UniProtKB:P28223	HTR2A	5-hydroxytryptamine receptor 2A
UniProtKB:P01024	C3	Complement C3
UniProtKB:P01019	AGT	Angiotensinogen
UniProtKB:Q99627	COPS8	COP9 signalosome complex subunit 8
UniProtKB:Q8WY54	PPM1E	Protein phosphatase 1E
UniProtKB:Q99748	NRTN	Neurturin
UniProtKB:Q99653	CHP1	Calcineurin B homologous protein 1
UniProtKB:Q8WXR4	MYO3B	Myosin-IIIb
UniProtKB:Q92934	BAD	Bcl2-associated agonist of cell death
UniProtKB:Q6X4U4	SOSTDC1	Sclerostin domain-containing protein 1
UniProtKB:K7ESF4	K7ESF4	Uncharacterized protein
UniProtKB:Q99665	IL12RB2	Interleukin-12 receptor subunit beta-2
UniProtKB:Q05513	PRKCZ	Protein kinase C zeta type
UniProtKB:Q8IZQ8	MYOCD	Myocardin
UniProtKB:Q8WTW4	NPRL2	GATOR complex protein NPRL2
UniProtKB:P31749	AKT1	RAC-alpha serine/threonine-protein kinase
UniProtKB:P11277	SPTB	Spectrin beta chain, erythrocytic
UniProtKB:P11274	BCR	Breakpoint cluster region protein
UniProtKB:O76095	JTB	Protein JTB
UniProtKB:O76093	FGF18	Fibroblast growth factor 18
UniProtKB:P85299	PRR5	Proline-rich protein 5
UniProtKB:P85298	ARHGAP8	Rho GTPase-activating protein 8
UniProtKB:Q08881	ITK	Tyrosine-protein kinase ITK/TSK
UniProtKB:P78368	CSNK1G2	Casein kinase I isoform gamma-2
UniProtKB:P78362	SRPK2	SRSF protein kinase 2
UniProtKB:Q6NTE8	MRNIP	MRN complex-interacting protein
UniProtKB:P08700	IL3	Interleukin-3
UniProtKB:P78356	PIP4K2B	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta
UniProtKB:Q13526	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
UniProtKB:P78352	DLG4	Disks large homolog 4
UniProtKB:Q13523	PRPF4B	Serine/threonine-protein kinase PRP4 homolog
UniProtKB:Q13522	PPP1R1A	Protein phosphatase 1 regulatory subunit 1A
UniProtKB:Q13501	SQSTM1	Sequestosome-1
UniProtKB:Q9BY71	LRRC3	Leucine-rich repeat-containing protein 3
UniProtKB:P78325	ADAM8	Disintegrin and metalloproteinase domain-containing protein 8
UniProtKB:P78318	IGBP1	Immunoglobulin-binding protein 1
UniProtKB:Q08828	ADCY1	Adenylate cyclase type 1
UniProtKB:P14598	NCF1	Neutrophil cytosol factor 1
UniProtKB:Q9P035	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
UniProtKB:Q5SWA1	PPP1R15B	Protein phosphatase 1 regulatory subunit 15B
UniProtKB:P14555	PLA2G2A	Phospholipase A2, membrane associated
UniProtKB:Q6ZVN8	HFE2	Hemojuvelin
UniProtKB:Q9BXM7	PINK1	Serine/threonine-protein kinase PINK1, mitochondrial
UniProtKB:P61371	ISL1	Insulin gene enhancer protein ISL-1
UniProtKB:Q9BXL6	CARD14	Caspase recruitment domain-containing protein 14
UniProtKB:Q86SG6	NEK8	Serine/threonine-protein kinase Nek8
UniProtKB:Q9BXJ1	C1QTNF1	Complement C1q tumor necrosis factor-related protein 1
UniProtKB:Q6KF10	GDF6	Growth/differentiation factor 6
UniProtKB:O14745	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
UniProtKB:Q6ZVD7	STOX1	Storkhead-box protein 1
UniProtKB:Q9BXA7	TSSK1B	Testis-specific serine/threonine-protein kinase 1
UniProtKB:O15534	PER1	Period circadian protein homolog 1
UniProtKB:O15530	PDPK1	3-phosphoinositide-dependent protein kinase 1
UniProtKB:Q9NZU1	FLRT1	Leucine-rich repeat transmembrane protein FLRT1
UniProtKB:Q9NZU0	FLRT3	Leucine-rich repeat transmembrane protein FLRT3
UniProtKB:O15524	SOCS1	Suppressor of cytokine signaling 1
UniProtKB:Q13480	GAB1	GRB2-associated-binding protein 1
UniProtKB:O15520	FGF10	Fibroblast growth factor 10
UniProtKB:Q13470	TNK1	Non-receptor tyrosine-protein kinase TNK1
UniProtKB:P24723	PRKCH	Protein kinase C eta type
UniProtKB:Q13467	FZD5	Frizzled-5
UniProtKB:Q13464	ROCK1	Rho-associated protein kinase 1
